Lat,Long,CrimeCount
-2.716746,53.515342,1
-2.716562,53.576789,2
-2.716439,53.523955,1
-2.715635,53.526387,1
-2.714723,53.517916,1
-2.71445,53.533018,1
-2.714284,53.525846,2
-2.714006,53.52547,1
-2.713953,53.520509,1
-2.71317,53.520622,3
-2.713022,53.517189,2
-2.712668,53.579643,1
-2.712369,53.576194,1
-2.712261,53.531153,1
-2.71189,53.515353,1
-2.711821,53.576835,2
-2.711347,53.532426,2
-2.711238,53.532255,1
-2.71116,53.539285,5
-2.710202,53.531641,3
-2.710188,53.581249,1
-2.710094,53.53868,1
-2.709929,53.532443,3
-2.709174,53.534227,2
-2.709013,53.577831,2
-2.708848,53.530939,1
-2.708823,53.533052,1
-2.708772,53.52818,1
-2.707739,53.53411,1
-2.707196,53.581195,1
-2.707054,53.512038,1
-2.706743,53.51328,2
-2.706335,53.582045,2
-2.705757,53.513807,1
-2.704513,53.538821,4
-2.703929,53.580927,1
-2.703754,53.5331,2
-2.703697,53.537846,2
-2.702961,53.543531,1
-2.702348,53.538375,1
-2.702333,53.539292,2
-2.701792,53.547655,1
-2.701008,53.542185,2
-2.699446,53.536226,1
-2.698965,53.538215,1
-2.696774,53.569212,1
-2.695169,53.570821,1
-2.693288,53.572135,1
-2.693081,53.538268,1
-2.692939,53.569288,1
-2.692629,53.590943,1
-2.691747,53.536001,1
-2.691303,53.574511,1
-2.691059,53.572516,1
-2.690201,53.570814,2
-2.690053,53.591416,1
-2.69003,53.589978,1
-2.689363,53.574081,1
-2.689205,53.576419,1
-2.688286,53.53656,1
-2.687833,53.534675,3
-2.68761,53.544241,3
-2.687576,53.537445,1
-2.687558,53.570775,1
-2.687529,53.541985,2
-2.687526,53.547423,1
-2.686607,53.538179,1
-2.686513,53.57808,2
-2.686505,53.538386,1
-2.686323,53.549533,1
-2.686314,53.543421,1
-2.686186,53.539242,3
-2.686053,53.588796,1
-2.685854,53.536395,4
-2.68569,53.538391,1
-2.685174,53.543841,1
-2.685109,53.585557,1
-2.684677,53.550432,1
-2.684442,53.536789,3
-2.684419,53.548483,2
-2.684354,53.578083,1
-2.684091,53.533744,1
-2.68404,53.54276,1
-2.683904,53.539902,3
-2.683632,53.550232,1
-2.683613,53.545261,3
-2.683459,53.54137,1
-2.683445,53.544246,1
-2.683265,53.546162,4
-2.683263,53.536643,3
-2.683159,53.535808,2
-2.683077,53.534469,1
-2.682623,53.53537,1
-2.682622,53.541842,2
-2.682308,53.543929,2
-2.682181,53.544478,2
-2.681359,53.535566,1
-2.68108,53.543559,1
-2.680918,53.541924,1
-2.680696,53.534698,1
-2.680602,53.54198,2
-2.680518,53.545198,5
-2.68051,53.539976,2
-2.680273,53.543114,2
-2.680167,53.548714,1
-2.680059,53.518469,2
-2.679756,53.536295,1
-2.679595,53.534696,1
-2.678927,53.536344,1
-2.678565,53.54858,1
-2.678109,53.560681,2
-2.678085,53.533688,1
-2.677934,53.535523,6
-2.677837,53.540827,4
-2.677631,53.538293,2
-2.677531,53.544343,3
-2.677324,53.53612,2
-2.676834,53.529031,1
-2.676824,53.549219,3
-2.676747,53.53491,1
-2.676722,53.548509,6
-2.676366,53.542246,1
-2.67602,53.539489,2
-2.675628,53.554655,1
-2.675625,53.542161,1
-2.675583,53.548021,2
-2.675574,53.547446,1
-2.675542,53.563437,1
-2.675503,53.521236,1
-2.675495,53.541559,1
-2.674927,53.54096,1
-2.674725,53.534903,9
-2.674675,53.540287,2
-2.674674,53.538355,3
-2.6745,53.547299,1
-2.674494,53.522293,1
-2.674011,53.533667,1
-2.67374,53.516608,1
-2.673737,53.547744,7
-2.673656,53.56165,1
-2.673519,53.535,1
-2.673488,53.541561,5
-2.673478,53.521904,1
-2.673347,53.54887,2
-2.673205,53.532287,1
-2.672953,53.540189,1
-2.672894,53.536495,1
-2.67279,53.533736,1
-2.672622,53.531697,1
-2.672507,53.552982,1
-2.67247,53.547787,3
-2.672389,53.547455,4
-2.671984,53.561884,1
-2.671782,53.562469,1
-2.671764,53.590855,1
-2.671605,53.547495,2
-2.671593,53.541006,5
